"Mention ID","Original Mention Index","Corrected Mention Index","Original Mention Text","Corrected Mention Text"
"s09e04c02t|95","[5, 11]","[4, 11]","سال پیش یه اسم خیلی خوب","چند سال پیش یه اسم خیلی خوب"
"s09e04c02t|97","()","[12, 13]","","کردم"
"s09e04c02t|99","[5, 6]","[4, 6]","سال","چند سال"
"s09e04c02t|102","[3, 21]","[2, 21]","سه نفره ‌ ای بود که سعی داشتم ، توی دبیرستان تشکیل بدم ولی دو نفر کم داشتیم","گروه سه نفره ‌ ای بود که سعی داشتم ، توی دبیرستان تشکیل بدم ولی دو نفر کم داشتیم"
"s09e04c02t|103","()","[10, 11]","","داشتم"
"s09e04c02t|108","[17, 18]","[17, 19]","دو","دو نفر"
"s09e04c02t|114","[0, 1]","()","موهام",""
"s09e04c02t|116","[1, 2]","[0, 3]","سیخ","موهام سیخ شد"
"s09e04c02t|124","[3, 6]","[3, 7]","بیماری "" لایم","بیماری "" لایم """
"s09e04c03t|0","[0, 4]","[0, 5]","فقط چندتا امضای دیگه","فقط چندتا امضای دیگه مونده"
"s09e04c03t|5","()","[18, 19]","","بدی"
"s09e04c03t|8","()","[15, 17]","","کلیدت رو"
"s09e04c03t|14","()","[29, 30]","","دارم"
"s09e04c03t|16","()","[33, 34]","","باشی"
"s09e04c03t|19","()","[42, 43]","","کردی"
"s09e04c03t|21","()","[39, 41]","","کلید رو"
"s09e04c03t|31","()","[12, 13]","","نمیبینم"
"s09e04c03t|36","[6, 8]","[6, 10]","شما دو","شما دو تا رو"
"s09e04c03t|39","()","[13, 14]","","که"
"s09e04c03t|40","()","[14, 15]","","ما"
"s09e04c03t|45","[27, 38]","[27, 39]","جا توی گردهمایی هم ‌ اتاقی ‌ ها برای ده ساله","جا توی گردهمایی هم ‌ اتاقی ‌ ها برای ده ساله دیگه"
"s09e04c03t|46","()","[28, 29]","","توی"
"s09e04c03t|48","[29, 38]","[29, 39]","گردهمایی هم ‌ اتاقی ‌ ها برای ده ساله","گردهمایی هم ‌ اتاقی ‌ ها برای ده ساله دیگه"
"s09e04c03t|49","()","[5, 6]","","بکنم"
"s09e04c03t|51","[3, 4]","[3, 5]","اینکار","اینکار رو"
"s09e04c03t|52","()","[6, 7]","","داری"
"s09e04c03t|57","()","[14, 15]","","خودته"
"s09e04c03t|58","[10, 15]","[14, 15]","بهت برسه ، تقصیر خودته","خودته"
"s09e04c03t|66","[32, 33]","()","ملکه",""
"s09e04c03t|68","[32, 33]","()","ملکه",""
"s09e04c03t|70","[32, 33]","()","ملکه",""
"s09e04c03t|73","()","[32, 33]","","ملکه"
"s09e04c03t|77","()","[38, 40]","","چیزی که"
"s09e04c03t|78","()","[46, 47]","","کنیم"
"s09e04c03t|82","()","[56, 57]","","نیستیم"
"s09e04c03t|89","()","[3, 4]","","اونیه"
"s09e04c03t|97","()","[1, 2]","","کرد"
"s09e04c04t|4","[8, 21]","[8, 22]","چیزی تو مایه های یه شعر افسانه ‌ ای ابرقهرمانی در ابعاد حماسی","چیزی تو مایه های یه شعر افسانه ‌ ای ابرقهرمانی در ابعاد حماسی"
"s09e04c04t|6","[13, 21]","[10, 21]","شعر افسانه ‌ ای ابرقهرمانی در ابعاد حماسی","مایه های یه شعر افسانه ‌ ای ابرقهرمانی در ابعاد حماسی"
"s09e04c04t|8","()","[3, 4]","","شده"
"s09e04c04t|9","[8, 9]","()","خدا",""
"s09e04c04t|19","[12, 13]","[17, 18]","ـه","خداست"
"s09e04c04t|23","[21, 22]","[19, 20]","اینه","اسمش"
"s09e04c04t|28","[31, 35]","[30, 35]","ثور و ایندیانا جونز","تقابل ثور و ایندیانا جونز"
"s09e04c04t|30","[1, 5]","[0, 5]","ثور و ایندیانا جونز","تقابل ثور و ایندیانا جونز"
"s09e04c04t|35","[8, 10]","[8, 11]","مخ من","مخ من رو"
"s09e04c04t|38","()","[3, 4]","","نکردم"
"s09e04c04t|41","()","[2, 4]","","کاملش نکردم"
"s09e04c04t|45","[8, 9]","[7, 9]","چیزی","یه چیزی"
"s09e04c04t|54","[45, 46]","[45, 47]","آدم","آدم نیست"
"s09e04c04t|60","[15, 16]","()","آسمان",""
"s09e04c04t|63","()","[9, 11]","","چکشش رو"
"s09e04c04t|66","[22, 23]","[24, 25]","عجب","خفنیه"
"s09e04c04t|68","[23, 25]","[22, 25]","موجود خفنیه","عجب موجود خفنیه"
"s09e04c04t|85","[9, 10]","[9, 12]","رعد","رعد و برق"
"s09e04c04t|96","[2, 3]","()","همون",""
"s09e04c05t|2","[0, 6]","[0, 7]","علاقه ‌ ی شما به آپارتمان","علاقه ‌ ی شما به آپارتمان رو"
"s09e04c05t|5","[5, 6]","[5, 7]","آپارتمان","آپارتمان رو"
"s09e04c05t|6","()","[15, 16]","","بپرسم"
"s09e04c05t|11","()","[3, 4]","","نوشته"
"s09e04c05t|19","[15, 16]","[17, 18]","شلواری","داره"
"s09e04c05t|21","[15, 16]","[15, 18]","شلواری","شلواری که داره"
"s09e04c05t|26","[2, 9]","[2, 10]","تنها کسی نیست که مشکل طرز برخورد","تنها کسی نیست که مشکل طرز برخورد داره"
"s09e04c05t|28","()","[4, 5]","","میتونی"
"s09e04c05t|30","()","[17, 18]","","داری"
"s09e04c05t|35","()","[0, 1]","","میخواستم"
"s09e04c05t|42","()","[8, 9]","","فهمیدم"
"s09e04c05t|45","()","[11, 12]","","میخوام"
"s09e04c05t|58","()","[16, 17]","","میخوام"
"s09e04c05t|62","()","[20, 21]","","میتونی"
"s09e04c05t|66","()","[9, 10]","","هستی"
"s09e04c05t|68","[2, 7]","[2, 9]","توی کار مرتبط با علم","توی کار مرتبط با علم و دانش"
"s09e04c05t|69","[6, 7]","[6, 9]","علم","علم و دانش"
"s09e04c05t|70","()","[11, 12]","","بگم"
"s09e04c05t|75","[19, 21]","[19, 22]","آپارتمان مال","آپارتمان مال خودته"
"s09e04c05t|82","()","[5, 6]","","شلدون"
"s09e04c05t|86","[3, 5]","[3, 6]","11 نفر","11 نفر رو"
"s09e04c05t|87","()","[9, 10]","","رفتن"
"s09e04c05t|94","[12, 17]","[11, 17]","متقلب هالیوودی ، کریس پرت","مرتیکه متقلب هالیوودی ، کریس پرت"
"s09e04c05t|96","[12, 14]","[11, 14]","متقلب هالیوودی","مرتیکه متقلب هالیوودی"
"s09e04c05t|99","()","[0, 1]","","مطمئنم"
"s09e04c05t|103","[1, 3]","[1, 4]","یکی دیگه","یکی دیگه رو"
"s09e04c05t|116","()","[14, 16]","","احساساتم رها"
"s09e04c05t|118","()","[19, 20]","","بگم"
"s09e04c05t|124","()","[29, 30]","","بودم"
"s09e04c05t|126","()","[27, 29]","","احساساتم رها"
"s09e04c05t|130","()","[33, 34]","","نداره"
"s09e04c05t|131","()","[0, 1]","","نمیدونم"
"s09e04c05t|135","()","[4, 5]","","میدونی"
"s09e04c05t|140","[2, 3]","()","اینجوری",""
"s09e04c05t|146","()","[12, 13]","","تون"
"s09e04c05t|150","[10, 11]","[10, 13]","همه","همه ‌ تون"
"s09e04c05t|167","()","[1, 2]","","نمیکنم"
"s09e04c05t|169","[6, 7]","[7, 8]","اینجوری","بوده"
"s09e04c05t|176","[10, 13]","[10, 16]","اون پدر ژپتوی","اون پدر ژپتوی عوضی من رو"
"s09e04c05t|178","[10, 13]","[10, 16]","اون پدر ژپتوی","اون پدر ژپتوی عوضی من رو"
"s09e04c05t|179","[14, 15]","()","من",""
"s09e04c05t|182","[0, 1]","()","آفرین",""
"s09e04c06t|12","()","[12, 13]","","میتونی"
"s09e04c06t|14","[8, 10]","[8, 12]","هرچی دوست","هرچی دوست داشته باشی"
"s09e04c06t|16","()","[11, 12]","","باشی"
"s09e04c06t|20","[15, 16]","()","کوبایی",""
"s09e04c06t|24","[25, 27]","[25, 29]","کبابی کره","کبابی کره ‌ ای"
"s09e04c06t|25","[1, 3]","[1, 2]","تایلندی بخوریم","تایلندی"
"s09e04c06t|27","()","[0, 1]","","داریم"
"s09e04c06t|31","()","[4, 5]","","میخوای"
"s09e04c06t|33","()","[1, 2]","","دلم"
"s09e04c06t|35","[3, 4]","[4, 5]","که","بیام"
"s09e04c06t|37","()","[7, 8]","","شدم"
"s09e04c06t|42","()","[23, 24]","","میخوام"
"s09e04c06t|45","()","[24, 26]","","زندگیم رو"
"s09e04c06t|51","[38, 45]","[37, 45]","روز قبل از اینکه لئونارد رو ببینم","درست روز قبل از اینکه لئونارد رو ببینم"
"s09e04c06t|52","[41, 42]","[44, 45]","اینکه","ببینم"
"s09e04c06t|56","()","[0, 1]","","شنیدی"
"s09e04c06t|60","()","[2, 3]","","میکنی"
"s09e04c06t|62","()","[6, 7]","","هستش"
"s09e04c06t|63","[5, 6]","[4, 6]","2003","سال 2003"
"s09e04c06t|70","[6, 7]","()","‏",""
"s09e04c06t|75","()","[26, 27]","","هست"
"s09e04c06t|76","[25, 26]","[24, 26]","2003","سال 2003"
"s09e04c06t|83","[34, 35]","[34, 36]","محوطه","محوطه ساختمان"
"s09e04c06t|88","[42, 43]","[45, 47]","این","خشگلم زنگ"
"s09e04c07t|0","()","[0, 1]","","حالت"
"s09e04c07t|2","()","[2, 3]","","شلدونم"
"s09e04c07t|13","[6, 7]","[6, 10]","30","30 ساله ‌ ست"
"s09e04c07t|14","[14, 18]","[14, 21]","یه آدم بالغ 20","یه آدم بالغ 20 ساله ‌ ست"
"s09e04c07t|17","[17, 18]","[17, 21]","20","20 ساله ‌ ست"
"s09e04c07t|23","[5, 6]","()","ازت",""
"s09e04c07t|36","()","[8, 10]","","زنت زندگی"
"s09e04c07t|40","[12, 13]","[12, 15]","ترموستات","ترموستات دما رو"
"s09e04c07t|50","[24, 25]","()","داخل",""
"s09e04c07t|55","[16, 24]","[16, 25]","هر روز صبح شلدون از زیر در بفرسته","هر روز صبح شلدون از زیر در بفرسته داخل"
"s09e04c07t|64","[1, 2]","[1, 4]","آب","آب و هوا"
"s09e04c07t|72","[1, 2]","[3, 4]","که","نیست"
"s09e04c07t|73","()","[5, 6]","","کنیم"
"s09e04c07t|76","()","[4, 6]","","ترکش کنیم"
"s09e04c07t|78","()","[10, 11]","","میتونیم"
"s09e04c07t|83","()","[9, 10]","","بخوایم"
"s09e04c07t|89","[21, 22]","()","بازار",""
"s09e04c08t|0","()","[0, 1]","","باورم"
"s09e04c08t|7","[7, 11]","[6, 11]","‌ خونه ‌ ایش","هم ‌ خونه ‌ ایش"
"s09e04c08t|10","[3, 10]","[9, 10]","تو اطلاعات حسابم رو بهش داده باشی","باشی"
"s09e04c08t|12","[5, 6]","[4, 6]","حسابم","اطلاعات حسابم"
"s09e04c08t|13","[5, 6]","[5, 7]","حسابم","حسابم رو"
"s09e04c08t|18","[7, 8]","[6, 8]","آدم","یه آدم"
"s09e04c08t|25","()","[5, 6]","","میزدی"
"s09e04c08t|31","()","[22, 23]","","بیاری"
"s09e04c08t|33","[19, 21]","[18, 19]","‌ شون","یدونه"
"s09e04c08t|35","()","[0, 1]","","گفتم"
"s09e04c08t|40","()","[3, 5]","","زندگیت یه"
"s09e04c08t|47","()","[16, 17]","","ـه"
"s09e04c09t|7","[6, 7]","()","وسایل",""
"s09e04c09t|14","[13, 14]","[13, 15]","حال","حال تو"
"s09e04c09t|15","()","[14, 15]","","تو"
"s09e04c09t|19","[20, 21]","[18, 21]","خواب","اتاق ‌ خواب"
"s09e04c09t|21","()","[36, 37]","","شدم"
"s09e04c09t|24","()","[0, 1]","","میدونم"
"s09e04c09t|39","()","[2, 3]","","دارم"
"s09e04c09t|45","()","[10, 11]","","ترکم"
"s09e04c09t|49","()","[1, 2]","","تمومش"
"s09e04c09t|54","[2, 3]","[2, 5]","بچه","بچه ‌ های"
"s09e04c09t|55","[5, 6]","[5, 7]","این","این دوره"
"s09e04c09t|57","()","[7, 8]","","نمیزنن"
"s09e04c09t|59","[5, 6]","()","همچین",""
"s09e04c09t|60","()","[3, 4]","","میزنن"
"s09e04c09t|64","()","[6, 7]","","نمیزنن"
"s09e04c10t|8","[13, 14]","[13, 16]","سنگ","سنگ ‌ ها"
"s09e04c10t|10","()","[17, 18]","","نظرت"
"s09e04c10t|17","()","[16, 17]","","نتونستم"
